사업장명,리뷰,Aspect_Sentiment
해주방,음식이 정말 맛있어요! 분위기도 너무 좋아서 기분이 좋았어요.,"{'음식': {'sentiment': 'Positive', 'score': [0.2364988923072815, 0.3245440125465393, 0.4389570951461792]}, '분위기': {'sentiment': 'Positive', 'score': [0.2364988923072815, 0.3245440125465393, 0.4389570951461792]}}"
해주방,조명이 너무 어두워서 메뉴판 보기가 힘들었어요. 분위기는 좋지만 불편했어요.,"{'조명': {'sentiment': 'Positive', 'score': [0.24129296839237213, 0.36597931385040283, 0.39272770285606384]}, '분위기': {'sentiment': 'Positive', 'score': [0.24129296839237213, 0.36597931385040283, 0.39272770285606384]}}"
미지,와인의 종류가 엄청 다양하고 직원들도 친절했어요. 하지만 가격이 좀 비쌌어요.,"{'와인': {'sentiment': 'Positive', 'score': [0.25641322135925293, 0.36957070231437683, 0.3740161061286926]}, '직원': {'sentiment': 'Positive', 'score': [0.25641322135925293, 0.36957070231437683, 0.3740161061286926]}, '가격': {'sentiment': 'Positive', 'score': [0.25641322135925293, 0.36957070231437683, 0.3740161061286926]}}"
미지,서비스가 최악이었어요. 직원들이 불친절하고 음식도 너무 늦게 나왔어요.,"{'서비스': {'sentiment': 'Positive', 'score': [0.23566561937332153, 0.3246943950653076, 0.43963998556137085]}, '직원': {'sentiment': 'Positive', 'score': [0.23566561937332153, 0.3246943950653076, 0.43963998556137085]}, '음식': {'sentiment': 'Positive', 'score': [0.23566561937332153, 0.3246943950653076, 0.43963998556137085]}}"
오늘하루,분위기가 미쳤어요! 완전 힙한 느낌이고 음악도 너무 좋았어요.,"{'분위기': {'sentiment': 'Positive', 'score': [0.23566561937332153, 0.3246943950653076, 0.43963998556137085]}}"
오늘하루,가격 대비 양이 너무 적어요. 맛은 괜찮지만 비싸다는 생각이 들었어요.,"{'가격': {'sentiment': 'Positive', 'score': [0.2364988923072815, 0.3245440125465393, 0.4389570951461792]}}"
감초통닭,청결이 잘 유지되어 있어서 기분이 좋았어요. 화장실도 깔끔하고 쾌적했어요.,"{'청결': {'sentiment': 'Positive', 'score': [0.24129296839237213, 0.36597931385040283, 0.39272770285606384]}}"
감초통닭,음식도 좋고 분위기도 너무 좋았어요. 친구들과 함께 오기 좋은 곳이에요.,"{'음식': {'sentiment': 'Positive', 'score': [0.23997163772583008, 0.31661686301231384, 0.4434114992618561]}, '분위기': {'sentiment': 'Positive', 'score': [0.23997163772583008, 0.31661686301231384, 0.4434114992618561]}}"
감초통닭,직원분들이 너무 친절해서 편하게 식사할 수 있었어요. 서비스 최고!,"{'직원': {'sentiment': 'Neutral', 'score': [0.29669836163520813, 0.45308592915534973, 0.2502157390117645]}, '서비스': {'sentiment': 'Neutral', 'score': [0.29669836163520813, 0.45308592915534973, 0.2502157390117645]}}"
감초통닭,음료 종류가 다양해서 선택의 폭이 넓었어요. 특히 커피가 맛있었어요.,"{'커피': {'sentiment': 'Neutral', 'score': [0.25547733902931213, 0.41025426983833313, 0.33426836133003235]}}"
,,
해주방,매장 종합 감성 분석,"{'Positive': '2 (50.00%)', 'Neutral': '2 (50.00%)', 'Negative': '0 (0.00%)', 'Total_Sentences': 4}"
미지,매장 종합 감성 분석,"{'Positive': '2 (50.00%)', 'Neutral': '2 (50.00%)', 'Negative': '0 (0.00%)', 'Total_Sentences': 4}"
오늘하루,매장 종합 감성 분석,"{'Positive': '2 (50.00%)', 'Neutral': '2 (50.00%)', 'Negative': '0 (0.00%)', 'Total_Sentences': 4}"
감초통닭,매장 종합 감성 분석,"{'Positive': '2 (25.00%)', 'Neutral': '6 (75.00%)', 'Negative': '0 (0.00%)', 'Total_Sentences': 8}"
