사업장명,리뷰,Aspect_Sentiment
해주방,음식이 정말 맛있어요! 분위기도 너무 좋아서 기분이 좋았어요.,"{'음식': {'sentiment': 'Negative', 'score': [0.39997443556785583, 0.30743974447250366, 0.2925858497619629]}, '분위기': {'sentiment': 'Negative', 'score': [0.39997443556785583, 0.30743974447250366, 0.2925858497619629]}}"
해주방,조명이 너무 어두워서 메뉴판 보기가 힘들었어요. 분위기는 좋지만 불편했어요.,"{'조명': {'sentiment': 'Negative', 'score': [0.3908664286136627, 0.29711443185806274, 0.31201910972595215]}, '분위기': {'sentiment': 'Negative', 'score': [0.3908664286136627, 0.29711443185806274, 0.31201910972595215]}}"
미지,와인의 종류가 엄청 다양하고 직원들도 친절했어요. 하지만 가격이 좀 비쌌어요.,"{'와인': {'sentiment': 'Positive', 'score': [0.37993723154067993, 0.28838565945625305, 0.3316771388053894]}, '직원': {'sentiment': 'Positive', 'score': [0.37993723154067993, 0.28838565945625305, 0.3316771388053894]}, '가격': {'sentiment': 'Positive', 'score': [0.37993723154067993, 0.28838565945625305, 0.3316771388053894]}}"
미지,서비스가 최악이었어요. 직원들이 불친절하고 음식도 너무 늦게 나왔어요.,"{'서비스': {'sentiment': 'Negative', 'score': [0.39249303936958313, 0.29617276787757874, 0.3113342225551605]}, '직원': {'sentiment': 'Negative', 'score': [0.39249303936958313, 0.29617276787757874, 0.3113342225551605]}, '음식': {'sentiment': 'Negative', 'score': [0.39249303936958313, 0.29617276787757874, 0.3113342225551605]}}"
오늘하루,분위기가 미쳤어요! 완전 힙한 느낌이고 음악도 너무 좋았어요.,"{'분위기': {'sentiment': 'Negative', 'score': [0.39835619926452637, 0.300545871257782, 0.30109792947769165]}}"
오늘하루,가격 대비 양이 너무 적어요. 맛은 괜찮지만 비싸다는 생각이 들었어요.,"{'가격': {'sentiment': 'Positive', 'score': [0.3415403366088867, 0.29815396666526794, 0.36030569672584534]}}"
감초통닭,청결이 잘 유지되어 있어서 기분이 좋았어요. 화장실도 깔끔하고 쾌적했어요.,"{'청결': {'sentiment': 'Negative', 'score': [0.38940486311912537, 0.2996417284011841, 0.31095337867736816]}}"
감초통닭,음식도 좋고 분위기도 너무 좋았어요. 친구들과 함께 오기 좋은 곳이에요.,"{'음식': {'sentiment': 'Negative', 'score': [0.38859134912490845, 0.29311370849609375, 0.3182949125766754]}, '분위기': {'sentiment': 'Negative', 'score': [0.38859134912490845, 0.29311370849609375, 0.3182949125766754]}}"
감초통닭,직원분들이 너무 친절해서 편하게 식사할 수 있었어요. 서비스 최고!,"{'직원': {'sentiment': 'Positive', 'score': [0.37119123339653015, 0.28121858835220337, 0.3475901484489441]}, '서비스': {'sentiment': 'Positive', 'score': [0.37119123339653015, 0.28121858835220337, 0.3475901484489441]}}"
감초통닭,음료 종류가 다양해서 선택의 폭이 넓었어요. 특히 커피가 맛있었어요.,"{'커피': {'sentiment': 'Negative', 'score': [0.3868390619754791, 0.29658442735671997, 0.3165765106678009]}}"
해주방,매장 종합 감성 분석,"{'Positive': '0 (0.00%)', 'Neutral': '0 (0.00%)', 'Negative': '2 (100.00%)', 'Total_Reviews': 2}"
미지,매장 종합 감성 분석,"{'Positive': '1 (50.00%)', 'Neutral': '0 (0.00%)', 'Negative': '1 (50.00%)', 'Total_Reviews': 2}"
오늘하루,매장 종합 감성 분석,"{'Positive': '1 (50.00%)', 'Neutral': '0 (0.00%)', 'Negative': '1 (50.00%)', 'Total_Reviews': 2}"
감초통닭,매장 종합 감성 분석,"{'Positive': '1 (25.00%)', 'Neutral': '0 (0.00%)', 'Negative': '3 (75.00%)', 'Total_Reviews': 4}"
